Username                       | Relationship
davinlusung                    | ✔ (Mutual)
davinwithdawok                 | ✔ (Mutual)
davyz_99                       | ✘ (One-sided)
dayshimada3                    | ✘ (One-sided)
dchungs_eats                   | ✔ (Mutual)
ddanale                        | ✘ (One-sided)
ddeaanna                       | ✔ (Mutual)
deadythepanda                  | ✔ (Mutual)
debbie.ly                      | ✔ (Mutual)
deece10                        | ✘ (One-sided)
deleted_user70200              | ✔ (Mutual)
deonshania                     | ✔ (Mutual)
derekchai_                     | ✘ (One-sided)
deric_chang_                   | ✘ (One-sided)
derricksiscar                  | ✘ (One-sided)
devi_liciousss                 | ✔ (Mutual)
devin_kal                      | ✘ (One-sided)
devindope                      | ✘ (One-sided)
devonnhuang                    | ✔ (Mutual)
devonparagas                   | ✔ (Mutual)
dhani2020                      | ✔ (Mutual)
dianattran                     | ✔ (Mutual)
diane_z55                      | ✔ (Mutual)
diichung                       | ✔ (Mutual)
din9uyen_                      | ✔ (Mutual)
dinh_o_saur                    | ✔ (Mutual)
dinhjohnny                     | ✘ (One-sided)
districtteasf                  | ✘ (One-sided)
divyachunduru                  | ✔ (Mutual)
dj__rocha                      | ✘ (One-sided)
djtr3ble                       | ✔ (Mutual)
dkwok101                       | ✘ (One-sided)
docs                           | ✔ (Mutual)
domgpagano                     | ✔ (Mutual)
dominic.panella                | ✔ (Mutual)
doobydobap                     | ✘ (One-sided)
doorwrist                      | ✔ (Mutual)
doreenyuu                      | ✘ (One-sided)
doroodong                      | ✘ (One-sided)
dr_benjibun                    | ✔ (Mutual)
drinktastea                    | ✘ (One-sided)
drtheman                       | ✔ (Mutual)
dthee.n                        | ✔ (Mutual)
duckduckgoob                   | ✔ (Mutual)
durlina_n                      | ✔ (Mutual)
dxnnyn                         | ✔ (Mutual)
dylancha_                      | ✘ (One-sided)
dylanjee.lk                    | ✔ (Mutual)
dylanjohnston_                 | ✔ (Mutual)
dylanstaud                     | ✔ (Mutual)
e_zhang08                      | ✘ (One-sided)
eainthzaw                      | ✘ (One-sided)
eartho7                        | ✔ (Mutual)
echuang99                      | ✘ (One-sided)
eddiepark__                    | ✘ (One-sided)
eden_santos                    | ✔ (Mutual)
edithh.marlene                 | ✔ (Mutual)
edward_li_                     | ✔ (Mutual)
edwardlai_                     | ✔ (Mutual)
eemmajanee                     | ✔ (Mutual)
eileen4evr                     | ✔ (Mutual)
ejflores9                      | ✔ (Mutual)
ek_nakajima                    | ✔ (Mutual)
ekwan24                        | ✔ (Mutual)
el.christian.polo              | ✔ (Mutual)
eleanorrxiao                   | ✘ (One-sided)
eliana_kim                     | ✘ (One-sided)
eliiprincesss                  | ✔ (Mutual)
eliselee_                      | ✔ (Mutual)
elizabeth99lee                 | ✔ (Mutual)
elizabethjtan                  | ✔ (Mutual)
elizabethmariechiu             | ✔ (Mutual)
elliesriesenberg               | ✔ (Mutual)
elliott_ho                     | ✘ (One-sided)
eltnc                          | ✘ (One-sided)
elvis_benchpressley            | ✘ (One-sided)
em.chann                       | ✘ (One-sided)
emerygarcia                    | ✔ (Mutual)
emi.takemoto                   | ✘ (One-sided)
emiilymai                      | ✔ (Mutual)
emikocheryl                    | ✘ (One-sided)
emilmirano                     | ✘ (One-sided)
emily.lu.han                   | ✘ (One-sided)
emily_barry4                   | ✔ (Mutual)
emily_hayashi                  | ✘ (One-sided)
emilybarneond                  | ✔ (Mutual)
emilyfukuda                    | ✔ (Mutual)
emilyishi                      | ✔ (Mutual)
emilynakashima10               | ✘ (One-sided)
emilynlam                      | ✔ (Mutual)
emilysichak                    | ✘ (One-sided)
emilysu830                     | ✔ (Mutual)
emilytakeda                    | ✔ (Mutual)
emilywnng                      | ✔ (Mutual)
emilywrigh.t                   | ✘ (One-sided)
emilyy_gu                      | ✔ (Mutual)
emmakatiaa                     | ✔ (Mutual)
emmiilee                       | ✔ (Mutual)
emtablak                       | ✘ (One-sided)
enzo_sison                     | ✔ (Mutual)
eric_v_he                      | ✘ (One-sided)
ericahuu                       | ✘ (One-sided)
ericclyu                       | ✘ (One-sided)
ericka.sangcolidgey            | ✔ (Mutual)
ericshimy                      | ✘ (One-sided)
erictsuchiya                   | ✔ (Mutual)
ericzhong_                     | ✘ (One-sided)
erik.chuu                      | ✔ (Mutual)
erikanakaa                     | ✔ (Mutual)
erikatsukimura                 | ✔ (Mutual)
erikkei                        | ✘ (One-sided)
erin.nguyenn                   | ✘ (One-sided)
erinfarnese                    | ✔ (Mutual)
erinharvie                     | ✔ (Mutual)
esha_ballislife                | ✔ (Mutual)
eshebert672                    | ✘ (One-sided)
esther.blaze                   | ✘ (One-sided)
ethan_simeon                   | ✔ (Mutual)
ethaneatseverywhere            | ✔ (Mutual)
ethansong                      | ✔ (Mutual)
ethantitanic                   | ✔ (Mutual)
ethanwoo_                      | ✘ (One-sided)
ev.rubinchik                   | ✘ (One-sided)
ev3kosh                        | ✔ (Mutual)
evan_yee                       | ✔ (Mutual)
evelynnwu                      | ✔ (Mutual)
everettbang                    | ✘ (One-sided)
evy.ma                         | ✔ (Mutual)
explore                        | ✔ (Mutual)
faith_chiaseeds                | ✘ (One-sided)
faithylimon                    | ✘ (One-sided)
felicitayye                    | ✔ (Mutual)
felicityrosebakery             | ✔ (Mutual)
felicitythefoodie              | ✘ (One-sided)
fellabres                      | ✔ (Mutual)
fiabarrientos                  | ✔ (Mutual)
figgy25                        | ✔ (Mutual)
fionalau_                      | ✔ (Mutual)
fitgalhaytay                   | ✔ (Mutual)
flutesandramen                 | ✔ (Mutual)
frances.pham                   | ✔ (Mutual)
franciinepham                  | ✔ (Mutual)
frinnethr                      | ✘ (One-sided)
fuji_stateofgrace              | ✘ (One-sided)
g.wonton                       | ✘ (One-sided)
g_yangster                     | ✔ (Mutual)
gaabbymota                     | ✔ (Mutual)
gabbss.22                      | ✘ (One-sided)
gabby.tom                      | ✔ (Mutual)
gabby_923                      | ✘ (One-sided)
gabbyescobars                  | ✔ (Mutual)
gabbyfajgom                    | ✘ (One-sided)
gabemort                       | ✔ (Mutual)
gabi.stevens                   | ✘ (One-sided)
gabriella._.27                 | ✘ (One-sided)
gan_ram                        | ✔ (Mutual)
garin.verne                    | ✔ (Mutual)
garrett_geisler                | ✘ (One-sided)
garrickhogrebe                 | ✔ (Mutual)
gayatri_sub                    | ✘ (One-sided)
gbrll.jo                       | ✔ (Mutual)
geekyzekey                     | ✘ (One-sided)
genewang                       | ✔ (Mutual)
genmaeshiro                    | ✔ (Mutual)
giannafrancescaa               | ✔ (Mutual)
giinasaglimbeni                | ✔ (Mutual)
gina.lohman                    | ✘ (One-sided)
ginaa.le                       | ✔ (Mutual)
ginaaa.le                      | ✔ (Mutual)
gingersface                    | ✔ (Mutual)
glossy.222                     | ✔ (Mutual)
gmadd13                        | ✔ (Mutual)
goodjobmissael                 | ✔ (Mutual)
goodmorningmikey               | ✔ (Mutual)
goodsarcasm                    | ✔ (Mutual)
gr4celo                        | ✘ (One-sided)
gra.cexu                       | ✔ (Mutual)
grace.bernal                   | ✘ (One-sided)
grace.nguyyen                  | ✔ (Mutual)
grace_clement12                | ✔ (Mutual)
